5,occurrenceDateTime,0.003,50.28,50.28,161
6,occurrenceDateTime,0.004,50.28,50.28,161
2,recordedDate,0.025,56.38,56.38,555
7,occurrenceDateTime,0.006,50.28,50.28,161
8,occurrenceDateTime,0.004,50.28,50.28,161
2,abatementDateTime,0.037,56.38,56.38,555
3,onsetDateTime,0.012,56.38,56.38,555
3,recordedDate,0.026,56.38,56.38,555
3,abatementDateTime,0.036,56.38,56.38,555
4,onsetDateTime,0.014,56.38,56.38,555
4,recordedDate,0.029,56.38,56.38,555
4,abatementDateTime,0.04,56.39,56.39,555
5,onsetDateTime,0.015,56.39,56.39,555
5,recordedDate,0.026,56.39,56.39,555
5,abatementDateTime,0.036,56.39,56.39,555
1,date,0.037,74.69,74.69,1215
6,onsetDateTime,0.014,56.41,56.41,555
6,recordedDate,0.025,56.41,56.41,555
6,abatementDateTime,0.035,56.41,56.41,555
7,onsetDateTime,0.012,56.41,56.41,555
2,date,0.044,74.82,74.82,1215
7,recordedDate,0.027,56.41,56.41,555
7,abatementDateTime,0.038,56.41,56.41,555
3,date,0.04,74.84,74.84,1215
1,effectiveDateTime,0.061,85.71,85.71,2101
4,date,0.041,74.85,74.85,1215
5,date,0.035,74.85,74.85,1215
2,effectiveDateTime,0.057,85.73,85.73,2101
6,date,0.035,74.85,74.85,1215
3,effectiveDateTime,0.045,85.73,85.73,2101
7,date,0.028,74.85,74.85,1215
4,effectiveDateTime,0.043,85.73,85.73,2101
5,effectiveDateTime,0.04,85.73,85.73,2101
6,effectiveDateTime,0.039,85.73,85.73,2101
7,effectiveDateTime,0.042,85.73,85.73,2101
1,effectiveDateTime,0.138,175.18,175.18,9878
2,effectiveDateTime,0.164,175.63,175.63,9878
3,effectiveDateTime,0.168,175.78,175.78,9878
4,effectiveDateTime,0.17,177.02,177.02,9878
5,effectiveDateTime,0.163,177.11,177.11,9878
6,effectiveDateTime,0.148,177.11,177.11,9878
7,effectiveDateTime,0.145,177.11,177.11,9878
